epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1340.22,0.93348,0.68363,0.94789,0.64781,0.4744,0.50804,0.35547,1.08551,1.30017,1.0554,0.0700057,0.0033327,0.0033327
2,10254.8,0.83893,0.54688,0.92013,0.61005,0.55181,0.55899,0.42216,1.02449,1.58277,1.01924,0.0399877,0.00664795,0.00664795
3,12064,0.79313,0.49647,0.90476,0.6902,0.52986,0.57322,0.42828,1.02357,2.04118,1.01141,0.00989757,0.0098912,0.0098912
4,21330.5,0.76354,0.46415,0.89535,0.64182,0.55394,0.57033,0.43259,1.00431,2.34105,1.00424,0.00975773,0.00975773,0.00975773
5,23141.5,0.74312,0.44106,0.88908,0.61796,0.54781,0.56893,0.43362,0.99748,2.38533,0.9985,0.00957205,0.00957205,0.00957205
6,32985.4,0.72781,0.42431,0.88434,0.65894,0.55799,0.57637,0.44005,0.99624,2.3603,0.99824,0.00933683,0.00933683,0.00933683
